TargetID	MF1.AVG_Signal	MF1-2.AVG_Signal	MF3.AVG_Signal	MF3-2.AVG_Signal	MF6.AVG_Signal	MF6-2.AVG_Signal	A1.AVG_Signal	B1.AVG_Signal	C1.AVG_Signal	D1.AVG_Signal	E1.AVG_Signal
ADAM15	109.4	104.0	97.8	116.9	136.3	103.6	78.7	157.1	94.7	113.8	82.9
ADAM17	48.0	58.4	27.3	23.7	67.0	43.8	45.4	56.7	48.9	38.0	45.8
ADAM18	1.6	3.7	1.2	0.0	0.0	0.0	2.1	0.0	0.8	0.9	0.0
ADAM19	19.5	16.1	44.9	49.4	43.5	42.0	103.3	60.7	94.1	102.8	60.6
ADAM2	1.6	6.3	0.0	1.8	6.7	3.4	6.1	15.3	7.7	7.4	3.9
ADAM20	0.0	0.0	4.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ADAM21	0.0	0.4	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ADAM21P	0.0	0.0	3.5	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ADAM22	0.0	2.0	0.3	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0
ADAM23	0.7	0.0	1.2	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0
ADAM28	0.0	0.0	0.0	0.0	0.5	0.0	2.0	0.0	0.0	7.3	2.7
ADAM29	0.0	5.0	0.0	6.6	3.4	1.1	0.0	4.5	0.0	0.0	5.2
ADAM30	0.0	0.0	3.6	2.0	3.6	0.0	0.0	1.5	2.3	1.4	1.3
ADAM32	0.1	0.0	2.5	0.2	0.0	2.7	1.1	0.3	1.7	1.5	0.4
ADAM33	0.9	1.2	4.9	0.8	0.9	0.0	0.0	0.0	1.4	0.7	2.0
ADAM3A	0.0	0.0	2.2	1.2	0.0	0.0	0.7	0.9	1.4	0.0	0.8
ADAM5	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.9
ADAM5P	0.0	0.0	0.0	2.1	0.1	0.0	0.0	0.0	1.0	0.0	5.3
ADAM6	0.0	0.0	0.7	0.0	0.0	1.2	6.2	0.6	0.0	1.3	2.3
ADAM7	1.9	2.5	0.0	0.0	0.0	0.0	1.5	0.0	1.7	0.5	0.0
ADAM8	131.3	174.1	201.6	157.6	98.7	122.5	84.5	195.0	72.0	111.6	88.3
ADAM9	14.9	17.1	7.8	5.4	6.1	10.4	3.5	10.5	0.0	7.1	4.6
ADAMDEC1	0.0	2.3	2.2	0.3	1.0	4.6	0.5	0.0	0.0	0.0	0.6
